time,Inputshaft_rpm,InputShaft_torque,Propeller_torque,ShipSpeed
0.549,78.5701456,17305.93973,49070.4808,5
0.55,78.55634736,17308.39175,49048.0243,5
0.551,78.54196328,17310.97421,49023.9831,5
0.552,78.52716646,17313.63201,48986.5303,5
0.553,78.51214271,17316.30455,48939.0458,5
0.554,78.49708642,17318.95469,48895.465,5
0.555,78.48219297,17321.57556,48861.416,5
0.556,78.46765258,17324.17071,48827.4364,5
0.557,78.45364851,17326.72726,48783.2338,5
0.558,78.44035861,17329.20766,48732.7523,5
0.559,78.42795602,17331.56786,48689.1274,5
0.56,78.41660572,17333.78504,48656.8375,5
0.561,78.40645768,17335.8692,48626.0596,5
0.562,78.39764056,17337.84734,48587.0492,5
0.563,78.39026011,17339.73316,48544.4387,5
0.564,78.38440241,17341.50752,48511.4894,5
0.565,78.38013841,17343.12562,48492.2315,5
0.566,78.37752551,17344.54455,48476.2806,5
0.567,78.37660432,17345.74903,48453.5642,5
0.568,78.377393,17346.75575,48428.5879,5
0.569,78.37988324,17347.59483,48414.4837,5
0.57,78.38404067,17348.2839,48415.0548,5
0.571,78.38980918,17348.81472,48419.6606,5
0.572,78.39711611,17349.16051,48418.0635,5
0.573,78.40587494,17349.29637,48414.7476,5
0.574,78.4159847,17349.21652,48422.8451,5
0.575,78.42732782,17348.93682,48445.8815,5
0.576,78.4397689,17348.48347,48472.4595,5
0.577,78.45315617,17347.8789,48491.3945,5
0.578,78.46732489,17347.136,48506.7448,5
