Time,Inputshaft_rpm,Propeller_torque,InputShaft_torque,ShipSpeed
23.6000000000059,78.5338371399113,48955.3720997813,17314.4094500074,5
23.6010000000059,78.5187009299122,48918.0470997733,17315.6645400075,5
23.6020000000059,78.5037265399143,48879.3718997682,17316.9378400075,5
23.6030000000059,78.4890999699174,48839.832399766,17318.2118600074,5
23.6040000000059,78.4750031099215,48799.9180997666,17319.4691500072,5
23.6050000000059,78.4616114399266,48760.1220997702,17320.6925500069,5
23.6060000000059,78.4490918499326,48720.9412997767,17321.8654800065,5
23.6070000000059,78.4376005399394,48682.8646997858,17322.972140006,5
23.6080000000059,78.4272810099471,48646.3603997976,17323.9977700055,5
23.6090000000059,78.4182622299554,48611.877299812,17324.9288300048,5
23.6100000000059,78.4106570299642,48579.8453998286,17325.7531600042,5
23.6110000000059,78.4045606199735,48550.6624998474,17326.4601500034,5
23.6120000000059,78.4000493599831,48524.6848998681,17327.0408200026,5
23.6130000000059,78.397179819993,48502.2314998904,17327.4879400018,5
23.6140000000059,78.3959879900029,48483.5836999141,17327.796050001,5
23.6150000000059,78.3964888700129,48468.9730999389,17327.9614900001,5
23.6160000000059,78.3986762400226,48458.5760999644,17327.9824399993,5
23.6170000000059,78.4025227600321,48452.5211999904,17327.8588399984,5
23.6180000000059,78.4079803000412,48450.8891000165,17327.5923799976,5
23.6190000000059,78.4149806100498,48453.7015000425,17327.1864399968,5
23.6200000000059,78.4234361400577,48460.9212000679,17326.6460099961,5
23.6210000000059,78.4332411800649,48472.4621000926,17325.9776099954,5
23.6220000000059,78.4442732500713,48488.1890001161,17325.1891799947,5
23.6230000000059,78.4563946200769,48507.9094001382,17324.2900099941,5
23.6240000000059,78.4694540700815,48531.3785001586,17323.2905999936,5
23.6250000000059,78.483288850085,48558.3113001771,17322.2025299931,5
23.6260000000059,78.4977266700875,48588.3819001934,17321.0383999928,5
23.6270000000059,78.512587900089,48621.2193002074,17319.8116299925,5
23.6280000000059,78.5276878300893,48656.4163002188,17318.5363799923,5
23.6290000000059,78.5428389700885,48693.5420002275,17317.2273699922,5
23.6300000000059,78.5578533700866,48732.1421002335,17315.8997799922,5
23.6310000000059,78.5725449600837,48771.7370002365,17314.5690599922,5
23.6320000000059,78.5867318300797,48811.8337002365,17313.2507899924,5
23.6330000000059,78.6002385000747,48851.9387002338,17311.9605099926,5
23.6340000000059,78.6128980400688,48891.557100228,17310.713569993,5
23.6350000000059,78.624554110062,48930.1928002193,17309.5249299934,5
23.6360000000059,78.6350628900545,48967.3627002081,17308.4090199939,5
23.6370000000059,78.6442947900463,49002.6077001942,17307.3795699945,5
23.6380000000059,78.6521360700375,49035.4902001778,17306.4493899952,5
23.6390000000059,78.6584901500283,49065.5950001592,17305.6302699959,5
